Kbʼix chrech, che are ri Jesus Nasareʼo ri tajin kqʼatanik.	K>bʼix ch>r>ech, ch>e are ri Jesus Nasareʼo ri tajin k>qʼatan>ik.
México	México
Xuqʼiʼo xkamsax ri rachalal	X>u>qʼiʼ>o x>kam>sa>x ri r>achalal
Ri xtukʼ kelik we kaxeʼj awibʼ.	Ri xtukʼ k>el>ik we ka>xeʼj aw>ibʼ.
Xqʼax ri nimaqʼij rech ri junabʼ.	X>qʼax ri nimaqʼij rech ri junabʼ.
¡Kʼatekʼut, ri ix, are nim kiwil wi ri inimal! Ronojel nimal, che jeriʼ, xas itzel wi.	¡Kʼatekʼut, ri ix, are nim ki>wil wi ri i>nimal! R>onojel nimal, ch>e jeriʼ, xas itzel wi.
Julajuj qʼataj. Ri yaʼtal chech ri winaq kʼo pa kʼaxkʼolil.	Julajuj qʼataj. Ri yaʼtal ch>ech ri winaq kʼo pa kʼaxkʼolil.
Chi raqän kabʼin wi ri tataʼ.	Chi r>aqän ka>bʼin wi ri tataʼ.
waʼ ri ubʼantajik.	waʼ ri u>bʼantajik.
tzij re ri tinimit ri kakʼamow wi ubʼi jun chomanik ke konojel ri	tzij r>e ri tinimit ri ka>kʼamow wi u>bʼi jun chomanik k>e k>onojel ri
Jawijeʼ, xok wi nabʼe ri Jesus rumal toqʼobʼisabʼal qawach ri uj; ri areʼ che kamik riʼ junalikalaj nim chuchqajaw rech ri uwachulew jeriʼ jacha ri ubʼantajik ri Melkisedek.	Jawijeʼ, x>ok wi nabʼe ri Jesus r>umal toqʼobʼisabʼal qa>wach ri uj; ri areʼ ch>e kamik riʼ junalik>alaj nim chuchqajaw rech ri uwachulew jeriʼ jacha ri u>bʼantajik ri Melkisedek.
Qʼinom ri achi.	Qʼinom ri achi.
Pa ri suʼt pisom wi ri lej.	Pa ri suʼt pisom wi ri lej.
jun chi Dyos e Tatxel qech qonojel; ri Areʼ che kʼo pakiwiʼ chi nimalaj konojel, ri areʼ che kʼo kumal konojel e ri areʼ che kʼo pa konojel.	jun chi Dyos e Tatxel q>ech q>onojel; ri Areʼ ch>e kʼo pa>ki>wiʼ chi nimalaj k>onojel, ri areʼ ch>e kʼo k>umal k>onojel e ri areʼ ch>e kʼo pa k>onojel.
Ri chʼima kʼa tʼon na.	Ri chʼima kʼa tʼon na.
Ri oj kʼo ajchaqʼe.	Ri oj kʼo ajchaqʼe.
Eʼachalaxik, ri ix, ¿On man iwetaʼm taj –ri in kinchʼaw kukʼ ri jachin taq eʼajtijabʼ rech ri pixabʼ– che ri winaq xuwi kʼo chuxeʼ ri Pixabʼ pa ri ukʼaslemal?	Eʼachalaxik, ri ix, ¿On man iw>etaʼm taj –ri in k>in>chʼaw k>ukʼ ri jachin taq eʼ>ajtij>abʼ rech ri pixabʼ– ch>e ri winaq xuwi kʼo ch>u>xeʼ ri Pixabʼ pa ri u>kʼaslemal?
Juwinaq wajxaqibʼ qʼataj.	Juwinaq wajxaqibʼ qʼataj.
Ri kotzʼiʼj kʼixtan katijowik.	Ri kotzʼiʼj kʼixtan ka>tijow>ik.
Xraj kaatʼek	X>r>aj ka>at>ʼe>k
E kʼo lajuj wakʼ.	E kʼo lajuj w>akʼ.
Utz ukemik le pas chawe	Utz u>kem>ik le pas ch>aw>e
Jeʼ nakʼut, ri ojer kanoq, man kʼo ta ri Pixabʼ; kʼatekʼut aretaq chiʼ xpe ri Pixabʼ, ri makaj xkʼojiʼ ukʼaslemal	Jeʼ nakʼut, ri ojer kan>oq, man kʼo ta ri Pixabʼ; kʼatekʼut aretaq chiʼ x>pe ri Pixabʼ, ri makaj x>kʼojiʼ u>kʼaslemal
Ekʼo sibʼalaj winaq che kʼo ri kikojonik kebʼek, keʼok rukʼ ri Ajawxel; sibʼalaj ekʼi achijabʼ e ixoqibʼ.	Ekʼo sibʼalaj winaq ch>e kʼo ri ki>kojonik k>e>bʼe>k, k>eʼ>ok r>ukʼ ri Ajawxel; sibʼalaj ekʼi achij>abʼ e ixoq>ibʼ.
Xax rij mansaʼn.	Xax r>ij mansaʼn.
jeʼ jas ri tzʼibʼatalik: Man kʼo ta jun che sukʼ,	jeʼ jas ri tzʼibʼatalik: Man kʼo ta jun ch>e sukʼ,
Kʼatekʼuriʼ, aretaq chiʼ ri eʼareʼ junam kechʼaw chkiwach, kqibʼ ukoq ri Jesus kukʼ e kbʼin kukʼ.	Kʼatekʼuriʼ, aretaq chiʼ ri eʼareʼ junam k>e>chʼaw ch>ki>wach, k>qibʼ uk>oq ri Jesus k>ukʼ e k>bʼin k>ukʼ.
Kʼo kʼatän che ri akʼal.	Kʼo kʼatän ch>e ri akʼal.
Pa we jastaq riʼ, ri at man kʼo ta awech chrech, xoqujeʼ man kʼo ta waʼ awechbʼal chrech, rumal rech che le awanimaʼ man sukʼ ta chuwach ri Dyos.	Pa we jastaq riʼ, ri at man kʼo ta aw>ech ch>r>ech, xoqujeʼ man kʼo ta waʼ aw>echbʼal ch>r>ech, r>umal rech ch>e le aw>animaʼ man sukʼ ta ch>u>wach ri Dyos.
Kbʼe ubʼi chilaʼ e kok pa jun Kʼolbʼal kichʼabʼal ri eʼareʼ.	K>bʼe u>bʼi chilaʼ e k>ok pa jun Kʼolbʼal ki>chʼabʼal ri eʼareʼ.
¿La man yaʼtal ta chqech uj che kujwaʼik e kujqumunik?	¿La man yaʼtal ta ch>q>ech uj ch>e k>uj>waʼ>ik e k>uj>qumu>n>ik?
Ri jun che naj kbʼe wi e man kkanaj ta kan pa ri utzij ri Kristo man kʼo ta riʼ ri Dyos rukʼ. Ri jun che kkanaj kan pa ri tzij kkʼojiʼ ri Tatxel e ri Kʼojolxel rukʼ.	Ri jun ch>e naj k>bʼe wi e man k>kanaj ta kan pa ri u>tzij ri Kristo man kʼo ta riʼ ri Dyos r>ukʼ. Ri jun ch>e k>kanaj kan pa ri tzij k>kʼojiʼ ri Tatxel e ri Kʼojolxel r>ukʼ.
Junam kijunabʼ.	Junam ki>junabʼ.
ri kachakun pa uwiʼ ri bʼantajik pa wa Iximulew, rajawixik chi ma	ri ka>chakun pa u>wiʼ ri bʼantajik pa wa Iximulew, rajawixik chi ma
Pa we taq qʼij riʼ, ri Mariʼy kel ubʼik, chanim kel ubʼik, kbʼe pa ri juyubʼ, pa jun utinamit ri Juda.	Pa we taq qʼij riʼ, ri Mariʼy k>el ubʼik, chanim k>el ubʼik, k>bʼe pa ri juyubʼ, pa jun u>tinamit ri Juda.
¡Kkʼojiʼ bʼaʼ ri usipanik ri ajawxel Jesus Kristo rukʼ ri awuxlabʼal!	¡K>kʼojiʼ bʼaʼ ri u>sipanik ri ajawxel Jesus Kristo r>ukʼ ri aw>uxlabʼal!
Tza ri choʼm.	Tza ri choʼm.
Juwinaq wajxaqlajuj qʼataj.	Juwinaq wajxaqlajuj qʼataj.
tinimit chik. xuqujeʼ kʼo nikʼaj jasa taq chik ri kʼax rilik ri ma	tinimit chik. xuqujeʼ kʼo nikʼaj jasa taq chik ri kʼax rilik ri ma
Xinnaʼo chi katpetik	X>in>naʼ>o chi k>at>pet>ik
ojer xok kan che nimalaj qʼatbʼaltzij re ri nimalaj tinimit ubʼiʼ	ojer x>ok kan ch>e nimalaj qʼatbʼaltzij r>e ri nimalaj tinimit u>bʼiʼ
Ri eʼajkʼayibʼ erech ri uwachulew koqʼej na uwach riʼ e kebʼison na riʼ chech; ri eqaʼn upam taq ri jukubʼ, kamik riʼ man kʼo ta chi jun kloqʼowik!	Ri eʼ>ajkʼay>ibʼ e>r>ech ri uwachulew k>oqʼej na u>wach riʼ e k>e>bʼison na riʼ ch>ech; ri eqaʼn u>pam taq ri jukubʼ, kamik riʼ man kʼo ta chi jun k>loqʼow>ik!
Jawi xojʼe wi chuloqʼik?	Jawi x>oj>ʼe wi ch>u>loqʼ>ik?
Kebʼ nubʼiʼ kʼolik.	Kebʼ nu>bʼiʼ kʼol>ik.
Kʼatekʼuriʼ kbʼe utzijol pa ronojel taq ukʼolbʼal ri ulew chilaʼ.	Kʼatekʼuriʼ k>bʼe u>tzijol pa r>onojel taq u>kʼolbʼal ri ulew chilaʼ.
Kʼo jubʼiqʼ awech.	Kʼo jubʼiqʼ aw>ech.
¿weriʼ, are ri Ajawxel xbʼanowik e sibʼalaj utz mayibʼal chuwach ri qawoqʼoch?».	¿weriʼ, are ri Ajawxel x>bʼan>ow>ik e sibʼalaj utz mayibʼal ch>u>wach ri qa>woqʼoch?».
Kamul xinpe che atzukuxik.	Kamul x>in>pe ch>e a>tzukuxik.
Aninäq kwaj ri nuwa. (	Aninäq k>w>aj ri nu>wa. (
Najil upam ri siwan.	Najil u>pam ri siwan.
Xinwilo chi takʼalik xulik	X>inw>il>o chi takʼ>al>ik x>ul>ik
Xa jekʼuriʼ, kʼo kʼi utzʼaqatil, kʼatekʼut xa jun chi bʼaqilal.	Xa jekʼuriʼ, kʼo kʼi u>tzʼaqatil, kʼatekʼut xa jun chi bʼaqilal.
Kawinaq wuqlajuj qʼataj.	Kawinaq wuqlajuj qʼataj.
Kakʼal ujunabʼ ri nunan.	K>akʼal u>junabʼ ri nu>nan.
Xukʼutu rech kaqilo	X>u>kʼut>u r>ech ka>q>il>o
Ri alaj a Xep kʼo pa ri nabʼe tijonem.	Ri alaj a Xep kʼo pa ri nabʼe tijonem.
Chom ri aq.	Chom ri aq.
Kinbʼinik xinʼek	K>in>bʼin>ik x>in>ʼe>k
Na jupulik ta xeqaj (laʼkʼalabʼ)	Na jup>ul>ik ta x>e>qaj (laʼkʼalabʼ)
Xojkisikʼij	X>oj>ki>sikʼi>j
Qastzij nakʼut, che ri in, man in kʼo ta iwukʼ chi rukʼ ri nubʼaqil; kʼatekʼut, ri in, in kʼo iwukʼ rukʼ ri wuxlabʼal; sibʼalaj kinkiʼkotik rumal rech che sibʼalaj kʼo utzil kiʼkotemal chixoʼl e rumal che kixkojon chrech ri Kristo.	Qastzij nakʼut, ch>e ri in, man in kʼo ta iw>ukʼ chi r>ukʼ ri nu>bʼaqil; kʼatekʼut, ri in, in kʼo iw>ukʼ r>ukʼ ri w>uxlabʼal; sibʼalaj k>in>kiʼkot>ik r>umal rech ch>e sibʼalaj kʼo utzil kiʼkotemal ch>i>xoʼl e r>umal ch>e k>ix>kojon ch>r>ech ri Kristo.
Ri al Ixchel, xuqʼiʼo	Ri al Ixchel, x>u>qʼiʼ>o
Chbʼana jun utzil chi we.	Ch>bʼan>a jun utzil chi we.
Ri uchʼuʼjilal ri ali Toʼn.	Ri u>chʼuʼjilal ri ali Toʼn.
Wech ri suʼt säq uwach kʼo chi upam ri ja.	W>ech ri suʼt säq u>wach kʼo chi u>pam ri ja.
Ri ix iwetaʼm: rukʼ waʼ we kʼax riʼ, ri ikojonik kkʼojiʼ uchuqʼabʼ;	Ri ix iw>etaʼm: r>ukʼ waʼ we kʼax riʼ, ri i>kojonik k>kʼojiʼ u>chuqʼabʼ;
Are ri utat ri Max kpetik.	Are ri u>tat ri Max k>pet>ik.
Arechiʼ kel uloq pa ri ukʼolbʼal chʼabʼal, kpe kukʼ ri Santiʼago e ri Xwan pa ri rachoch ri Simon e ri Atrix.	Arechiʼ k>el uloq pa ri u>kʼolbʼal chʼabʼal, k>pe k>ukʼ ri Santiʼago e ri Xwan pa ri r>achoch ri Simon e ri Atrix.
Ri unan e ri erachalal kepe uloq rukʼ ri areʼ, kʼatekʼuriʼ, man kekowin taj keqibʼ ukoq rukʼ, rumal rech che ekʼo sibʼalaj winaq.	Ri u>nan e ri e>r>achalal k>e>pe uloq r>ukʼ ri areʼ, kʼatekʼuriʼ, man k>e>kowin taj k>e>qibʼ uk>oq r>ukʼ, r>umal rech ch>e ekʼo sibʼalaj winaq.
We man kʼo ta kʼastajibʼal wach chkixoʼl ri ekaminaqibʼ, xoqujeʼ man xkʼastaj ta kʼu uwach riʼ ri Kristo.	We man kʼo ta kʼastajibʼal wach ch>ki>xoʼl ri e>kaminaq>ibʼ, xoqujeʼ man x>kʼastaj ta kʼu u>wach riʼ ri Kristo.
Tekʼuriʼ, chkijujunal kebʼe bʼi cho taq kachoch.	Tekʼuriʼ, chkijujunal k>e>bʼe bʼi cho taq k>achoch.
E kʼo utobʼanelabʼ ri ajtʼisoʼm.	E kʼo u>tobʼanel>abʼ ri ajtʼisoʼm.
Xretaʼmaj waʼim	X>r>etaʼma>j waʼ>im
Jeʼ na kʼut, jas ri bʼaqilal; we ri bʼaqilal man kʼo ta ruxlabʼal xas kaminaq wi riʼ, xoqujeʼ, ri kojonik che man kʼo ta uchak xas kaminaq na kʼuriʼ.	Jeʼ na kʼut, jas ri bʼaqilal; we ri bʼaqilal man kʼo ta r>uxlabʼal xas kaminaq wi riʼ, xoqujeʼ, ri kojonik ch>e man kʼo ta u>chak xas kaminaq na kʼuriʼ.
Le winaq pa le chʼichʼ e tʼuyul lo wi	Le winaq pa le chʼichʼ e tʼuy>ul lo wi
Kujopan pa ri Sirakusa e kujkanaj kan chilaʼ oxibʼ qʼij.	K>uj>opan pa ri Sirakusa e k>uj>kanaj kan chilaʼ oxibʼ qʼij.
In ri in wa rech kʼaslemal.	In ri in wa rech kʼaslemal.
Jeʼl ktijow ri kär.	Jeʼl k>tijow ri kär.
Jeʼl kʼolem chi awachoch.	Jeʼl kʼolem chi aw>achoch.
Xoqujeʼ waral riʼ, ri Pabʼlo katzijon kukʼ ri eʼareʼ. Pa oxibʼ Sabʼado kchʼaw kukʼ puwiʼ ri Tzij.	Xoqujeʼ waral riʼ, ri Pabʼlo ka>tzijon k>ukʼ ri eʼareʼ. Pa oxibʼ Sabʼado k>chʼaw k>ukʼ p>u>wiʼ ri Tzij.
Ri ix, man ix kʼo ta pa ri bʼaqilal, xane ix kʼo pa ri uxlabʼxel, rumal rech che ri Uxlabʼxel rech ri Dyos kʼo rachoch iwukʼ ri ix. Jachin ri man kʼo ta ri Uxlabʼxel rech ri Kristo rukʼ, ri areʼ man rech ta ri Kristo,	Ri ix, man ix kʼo ta pa ri bʼaqilal, xane ix kʼo pa ri uxlabʼxel, r>umal rech ch>e ri Uxlabʼxel rech ri Dyos kʼo r>achoch iw>ukʼ ri ix. Jachin ri man kʼo ta ri Uxlabʼxel rech ri Kristo r>ukʼ, ri areʼ man rech ta ri Kristo,
Xepetik xolkikʼamaʼ	X>e>pet>ik x>ol>ki>kʼam>aʼ
Xuta le nimalaj kʼamol bʼe rech	X>u>ta le nim>alaj kʼam>ol bʼe r>ech
Kʼakʼ ri abʼ.	Kʼakʼ ri abʼ.
Kamul kinwaʼ na.	Kamul k>in>waʼ na.
E ri alitomabʼ taq erachalal, ¿la man ekʼo ta konojel ri eʼareʼ chqaxoʼl ri uj? ¿Jawijeʼ kpe wi chrech ronojel we riʼ?».	E ri alitom>abʼ taq e>r>achalal, ¿la man ekʼo ta k>onojel ri eʼareʼ ch>qa>xoʼl ri uj? ¿Jawijeʼ k>pe wi ch>r>ech r>onojel we riʼ?».
Kpe na ri qʼatoj tzij.	K>pe na ri qʼatoj tzij.
In, che in chäj, inpetinaq uloq pa we uwachulew arech ronojel ri kkojon chwech ri in man kkanaj ta kan pa ri qʼequʼmal.	In, ch>e in chäj, in>petinaq uloq pa we uwachulew arech r>onojel ri k>kojon ch>w>ech ri in man k>kanaj ta kan pa ri qʼequʼmal.
Xretaʼmaj	X>r>etaʼma>j
E kʼo ri qachalal pa Chi uwiʼ la.	E kʼo ri q>achalal pa Chi u>wiʼ la.
Na xinta taj	Na x>in>ta taj
Kawinaq kebʼ qʼataj.	Kawinaq kebʼ qʼataj.
Ri Jose, xoqujeʼ kpe uloq pa ri Galileʼa, kel uloq pa ri tinamit Nasaret, kopan pa ri Judeʼa, pa ri utinamit ri David, che Bʼelem ri ubʼiʼ, –rumal che ri areʼ kʼo rech chkech ri uwinaq ri David–	Ri Jose, xoqujeʼ k>pe uloq pa ri Galileʼa, k>el uloq pa ri tinamit Nasaret, k>opan pa ri Judeʼa, pa ri u>tinamit ri David, ch>e Bʼelem ri u>bʼiʼ, –r>umal ch>e ri areʼ kʼo rech ch>k>ech ri u>winaq ri David–
Kʼo kan wa rech kaqatijo	Kʼo kan wa r>ech ka>qa>tij>o
Kojpetik kolqakʼamaʼ	K>oj>pet>ik k>ol>qa>kʼam>aʼ
Kʼatekʼuriʼ, chiwech ri ix, che xita ri jastaq uwach chi pa ri umajibʼal uloq chkanaj bʼaʼ kan iwukʼ ri ix. We kkanaj kan iwukʼ ri ix ri jastaq che xita pa ri umajibʼal, xoqujeʼ ri ix, kixkanaj kan riʼ pa ri Kʼojolxel e pa ri Tatxel.	Kʼatekʼuriʼ, ch>iw>ech ri ix, ch>e xit>a ri jastaq u>wach chi pa ri u>majibʼal uloq ch>kanaj bʼaʼ kan iw>ukʼ ri ix. We k>kanaj kan iw>ukʼ ri ix ri jastaq ch>e xit>a pa ri u>majibʼal, xoqujeʼ ri ix, k>ix>kanaj kan riʼ pa ri Kʼojolxel e pa ri Tatxel.
ri man eʼajjudiʼo taj xoqujeʼ kʼo ri kechbʼal, ri eʼareʼ eʼutzʼaqatil ri jun Bʼaqilal, kʼo ri chiʼnik kukʼ, pa ri Kristo Jesus rumal ri Utzalaj Tzij.	ri man eʼ>ajjudiʼo taj xoqujeʼ kʼo ri k>echbʼal, ri eʼareʼ eʼ>u>tzʼaqatil ri jun Bʼaqilal, kʼo ri chiʼnik k>ukʼ, pa ri Kristo Jesus r>umal ri Utzalaj Tzij.
¿La man iwetaʼm taj, che ri eʼajchakibʼ chrech ri nim rachoch ri Dyos chi kʼo ri kipwaq che rech ri nim rachoch ri Dyos? ¿La man iwetaʼm taj che ri kechakun cho ri tabʼal ekebʼ riʼ chrij ri jastaq rukʼ ri tabʼal?	¿La man iw>etaʼm taj, ch>e ri eʼ>ajchak>ibʼ ch>r>ech ri nim r>achoch ri Dyos chi kʼo ri ki>pwaq ch>e rech ri nim r>achoch ri Dyos? ¿La man iw>etaʼm taj ch>e ri k>e>chakun cho ri tabʼal e>kebʼ riʼ ch>r>ij ri jastaq r>ukʼ ri tabʼal?
ronojel tatxel che kʼo pa ri kaj e pa ri uwachulew kʼo ri ubʼiʼ rukʼ ri Areʼ.	r>onojel tatxel ch>e kʼo pa ri kaj e pa ri uwachulew kʼo ri u>bʼiʼ r>ukʼ ri Areʼ.
Jeʼ nakʼut, ix ri ix qaqʼijil e ix ri ix qakiʼkotemal.	Jeʼ nakʼut, ix ri ix qa>qʼijil e ix ri ix qa>kiʼkotemal.
Xwaj chi xatʼe taj	X>w>aj chi x>at>ʼe taj
