Ti mɛ̀ ɓɔ̀t yɛ̂m.	Ti me bot yem.
À biōŋol ndap manjɔ̄ŋ ma hikòa ; hı̀nùni hi mɓɛdɛ̄p manjɔ̄ŋ ma ɛ.	A biôñôl ndap manjoñ ma hikôa ; hinuni hi mbedep manjoñ ma e.
Mɛ̀ kɔ̌p ŋgɔ̀là.	Me kop ñgola.
I mmâl ɓahàɓa.	I mmal bahaba.
Kii ù ǹyôl mɛ mı̀ŋkɔ̀k?	Kii u nyôl me miñkok?
À ǹtop hyembi; mɛ̀ ǹtop nyɛ jǒl.	A ntôp hyémbi; me ntôp nye jôl.
Mɛ̀ ɓak nhyōm.	Me bak nhyôm.
Mɛ̀ ńyɛ̄p ni mɔ̀ni ndi hà nı̀ bı̀ɓàŋga ɓe.	Me nyep ni moni ndi ha ni bibañga bé.
Hı̀nùni hi ńyek macɛ̀ɛ.	Hinuni hi nyék matjee.
Màèya mee mɔn ma ŋeeha nyɛ (i) nàŋ.	Maéya méé mon ma ñééha nye (i) nañ.
Tubul mɛ̀ hyèmbi; tubul mɛ̀ màpɔ̀ndɔ.	Tubul me hyémbi; tubul me mapondo.
Gwɛ̀gwɛ̀ ù ɓana ndêk ı̀lɔ̀ɔ̀lɛ ù ɓana ɓe hyɛs.	Gwegwe u bana ndék iloole u bana bé hyes.
Inyǔlɛ̄ ŋgèdà ı̀ gwèe nı̀ mɔ̀ɔ (Màs 22,10).	Inyule ñgéda i gwéé ni moo (Mas 22,10).
Ǹsaŋ mbay nunu à ńyàhlà.	Nsañ mbay nunu a nyahla.
Kùmblɛnɛ i maŋgà.	Kumblene i mañga.
Mǎn ǹtomba nân à gaɓā ŋgi hyɛ̀s.. (Màn.12,5).	Man ntômba nan a gaba ñgi hyes.. (Man.12,5).
Ŋ̀aŋ u ta ɓe jâm ndigı̂ lı̀tee ndɔ̄ŋ.	Ñañ u ta bé jam ndigi litéé ndoñ.
Kundûs mùt njèk.	Kundus mut njék.
U u nsudɛ sudsut, u u ŋkêp sudsut.	U u nsude sudsut, u u ñkép sudsut.
Hɔsı̀ i ŋkɛ̀ ŋgwee ŋgandàk.	Hosi i ñke ñgwéé ñgandak.
Màtoà à nsùhna nyɛ i tisɔ̀n.	Matôa a nsuhna nye i tison.
À ǹyidɛ̄ manyâŋ gwàlâk.	A nyide manyañ gwalak.
Lı̀yi njāŋgumba: ù ntı̄ kop, ɓa hɔhɔ̄l ɓɔ̀t njaŋgumba ɓa undā wɛ̀ i màm maye mū ikède ɓɔ̀t.	Liyi njañgumba: u nti kôp, ba hohol bot njañgumba ba unda we i mam mayé mu ikédé bot.
Lı̀yi njāŋgumba: ù ntı̄ kop, ɓa hɔhɔ̄l ɓɔ̀t njaŋgumba ɓa undā wɛ̀ i màm maye mū ikède ɓɔ̀t.	Liyi njañgumba: u nti kôp, ba hohol bot njañgumba ba unda we i mam mayé mu ikédé bot.
Ŋwɛ̀s wàswâs i ndāp.	Ñwes waswas i ndap.
Mùdàa à nhyās kubà.	Mudaa a nhyas kuba.
Màjò à ntōp mɓèe.	Majô a ntôp mbéé.
Hùt mùt.	Hut mut.
Mɛ̀ kàlak lɛ mɛ̀ njɛ̄ ha ɓe lɛ̂n, ndi mɛ̀ ŋ̀kalàl.	Me kalak le me nje ha bé len, ndi me ñkalal.
Ɓòdàa ɓa ntı̂p gwâl ɓa mɓēbɓana malep ni lı̀tùk.	Bôdaa ba ntip gwal ba mbébbana malép ni lituk.
Yègna mɛ̀ nyɛ; inyùu kı̄i ɓa ńyègnà ɓe.	Yégna me nye; inyuu kii ba nyégna bé.
Kii ù ǹlɛmbɛ̄p hâ?	Kii u nlembep ha?
Kɔ̌t hyèe u pilı̄s pondi bı̀tòŋ; pı̀lis màtoà.	Kot hyéé u pilis pôndi bitôñ; pilis matôa.
Ɓalɛ mɛ̀ yi halà, ki...	Bale me yi hala, ki...
Bı̀lɔ̀ɔ nı̀ mı̀èndi gwɔn bi gapēmel i bı̀tèk bi ɓôt ɓɛ̂m (Yès 32,13).	Biloo ni miéndi gwon bi gapémél i biték bi bôt bem (Yés 32,13).
Hı̀kop hi ye bɛ̀ɛ̀ bi macèl.	Hikôp hi yé bee bi matjél.
À mɓɔ̀ŋ ŋgɛlɛ̀ nı̀ ɓòlo yee.	A mboñ ñgele ni bôlô yéé.
Ɓɔl hı̀òndɛ̀.	Bol hiônde.
Sogol à yè lɔŋgɛ ı̄ telà, nyɛn à m̂pagɛ mɛ sààndà.	Sôgôl a yé loñge i téla, nyen a mpage me saanda.
Màŋgɛ à nsàs ndap sǔglù.	Mañge a nsas ndap suglu.
Ŋwı̀i (u) liɓèl.	Ñwii (u) libél.
Koy ı̀ ncɛ̄da mincɛ̂p mi biɛ.	Kôy i ntjeda mintjep mi bie.
Lı̀kabdà bı̀ɛ li ntùga ɓe koy i kwɔ̀.	Likabda bie li ntuga bé kôy i kwo.
Lı̀tɔ̀ɔ̀k jɔŋ li minlà li ta ɓē lɔŋgɛ̂.	Litook joñ li minla li ta bé loñge.
Bı̀selà bi nlɛ̄ŋɛ̂l.	Biséla bi nleñel.
Kus lı̀ɓàŋgà; kus ŋ̀kwɛɛ = kuh lı̀ɓàŋgà; kuh ŋ̀kwɛɛ.	Kus libañga; kus ñkwee = kuh libañga; kuh ñkwee.
Wɛ̌ɛ̄, mɛ̀ ǹhɛ̂l!	Wee, me nhel!
Hı̀lɔ hi nnèl nyɛ.	Hilo hi nnél nye.
Lı̀ɓum ŋgànd = lòòs yɔ̀ lɔŋgɛ̂ .	Libum ñgand = lôôs yo loñge .
Wɔ̀ŋi wɔn u nteembaha nyɛ.	Woñi won u ntéémbaha nye.
À nsèhlaha biɓep bi nyɔ̂.	A nséhlaha bibép bi nyo.
Saŋ dilı̀bà.	Sañ diliba.
Mɛ̀ gwèe wɔ̀m (u) miŋkògo.	Me gwéé wom (u) miñkôgô.
Dı̀ nsēe ligwee lı̄ Ntɔhɔ̂l hi ŋwii i sōŋ Lı̀ɓuy li ńyèe.	Di nséé ligwéé li Ntohol hi ñwii i sôñ Libuy li nyéé.
À ŋ̀key liɓàdò mbɔ̄ŋgɔ.	A ñkéy libadô mboñgo.
Siŋgi ı̀ ŋ̀wât mɛ gwàlâk.	Siñgi i ñwat me gwalak.
Ǹlɔp u mpâŋgɓɛnɛ liāa.	Nlop u mpañgbene liaa.
Pedha mbɔt.	Pédha mbot.
Ɓɔ mànyâŋ ɓa edı̄ kı̀i lı̀ɓàl ɓɔ ı̀si.	Bo manyañ ba édi kii libal bo isi.
Lɛglɛ (lɔglɛ) mɛ̀ hâ.	Legle (logle) me ha.
À m̂pôhlaha mɛ ǹlam mùdàa nu lɔ̄ŋgɛ ŋɛm.	A mpôhlaha me nlam mudaa nu loñge ñem.
Lı̀mat li têk.	Limat li ték.
Ɓa ŋkɔ̀n nlàŋ ndi tɔ̀ ǹlàŋ ɓa njɛ̄ ɓe.	Ba ñkon nlañ ndi to nlañ ba nje bé.
Ɓalâl mı̌s.	Balal mis.
Ndoŋ lɔ̀lɔ̀k; lɔ̀lɔ̀k mût .	Ndôñ lolok; lolok mut .
Mɔm ŋwɛ̀ɛ.	Mom ñwee.
Nı̀ biyùyuy hiyɛyɛ̀bà. (Yak 2,5).	Ni biyuyuy hiyeyeba. (Yak 2,5).
Sɛ̀l i gweē bı̀sı̀ŋgli.	Sel i gwéé bisiñgli.
Âs à kop!	As a kôp!
(I) sɛ̄m kwɛ̄p.	(I) sem kwep.
(I) sɛ̄m kwɛ̄p.	(I) sem kwep.
Njɛ à m̂momhɛnɛ wɛ mǎn?	Nje a mmômhene we man?
Dɔ̂kta à mɓōblɛnɛ nyɛ i ndāp màtibla.	Dokta a mbôblene nye i ndap matibla.
Hɛ̀ɛ ù ǹnɔl mût i gwèt ù sak ɓe bisòo.	Hee u nnol mut i gwét u sak bé bisôô.
Mɛ̀ ŋ̀om tûk likās li ŋkɔ̀ŋ.	Me ñôm tuk likas li ñkoñ.
Nyɛ̌mb ı̀ lɔ̀na lı̀hoya.	Nyemb i lona lihôya.
Ɓa mɓɔ̀m ɓe ɔ̂p.	Ba mbom bé op.
Ɓɔ̀ŋgɛ ɓa nlūgna bitamb.	Boñge ba nlugna bitamb.
Nùga ini lɛ njɔ̀k yɔn i njɛ̄ maùm.	Nuga ini le njok yon i nje maum.
À nlɔ̀ fɛ̂dfɛ̀ɛ̀t.	A nlo fedfeet.
Ùbɛ mı̀nsas ù gaɓɛ̀l ŋwɔ.	Ube minsas u gabel ñwo.
Ǹsɔ̀hɔ̀ u kop.	Nsoho u kôp.
Njèe ı̀ ŋkūk.	Njéé i ñkuk.
Yin hyɔŋga.	Yin hyoñga.
Nunu màŋgɛ à ńyāmâ.	Nunu mañge a nyama.
Ŋ̀kɔ̀k u nsêk njɛ̂l.	Ñkok u nsék njel.
Nunu mùt à yè hı̀yɛ̀ŋɓɛ̀ .	Nunu mut a yé hiyeñbe .
Nı̀ ǹlama ɓana nduŋā inyùu ɓɔ̀n ɓanân.	Ni nlama bana nduña inyuu bon banan.
Bı̀sondâ bi nsêk njɛ̂l.	Bisônda bi nsék njel.
Ŋgàndàk bı̀ɓɔ̀mb ı̀ mɓɔ̀ŋ lɛ ɓa yanàk wɛ̀.	Ñgandak bibomb i mboñ le ba yanak we.
Ɓɛ̌mb mɛ̀ ɓěs wɛ̀ di kihā, mɛ̀ ńyı̄ ɓe mɛ njɛ̀l.	Bemb me bés we di kiha, me nyi bé me njel.
À ŋkɔ̀n hikùmlà.	A ñkon hikumla.
Dı̀ m̂ɓaglànà.	Di mbaglana.
Bı̀lèlèp bi nhō mis.	Bilélép bi nhô mis.
Mùt à ŋkùmbul i ŋwɛ̀mɛl.	Mut a ñkumbul i ñwemel.
Mǎn mùnlom, mǎn mùdàa; mǎn hɔsı̀; mǎn kop.	Man munlôm, man mudaa; man hosi; man kôp.
Ɓèe kɛ̀na ŋkɔ̀ŋ isi wɔnsonā....Mar 16,15.	Béé kena ñkoñ isi wonsôna....Mar 16,15.
Kii i mɓūuhaha wɛ̂?	Kii i mbuuhaha we?
Nı̀ŋ ini i ye ɓɛ̀ŋɛl.	Niñ ini i yé beñel.
Ù yè ŋ̀ŋɔ̀ɔ̀ wɛ̀m.	U yé ññoo wem.
Ù ǹhubus ŋkòò kı̀i ù ŋ̀kit wɔ.	U nhubus ñkôô kii u ñkit wo.
Bı̀sàŋ bi ŋ́was mɛ mbɔ̄t.	Bisañ bi ñwas me mbot.
Màŋgɛ à ŋ̀êgha mɛ nyàŋ.	Mañge a ñégha me nyañ.
Dı̀ ǹnuuha bijɛ̄k bini; kɔ̀ga matɔ̀p i nnūuha ŋgandàk.	Di nnuuha bijek bini; koga matop i nnuuha ñgandak.
Soŋ ı̀ ǹta, ı̀ ǹyɔn liɓòm, ı̀ mɓày, ı̀ ǹlôk ɓɔ̄ɔŋgɛ! soŋ ı̀ ǹsɔlɔ̀p.	Sôñ i nta, i nyon libôm, i mbay, i nlôk booñge! sôñ i nsolop.
Ŋgɛ̀gi ı̀ mɓı̄iŋgɛ̀.	Ñgegi i mbiiñge.
Mɛ̀ yè yààɓum i lôk sen [Ndòk Sen];	Me yé yaabum i lôk sén [Ndôk Sén];
I ɓòmm nû, mɛ̀ ǹnɔk ndigi mùdàa à ŋ̀ɔŋ nlend!	I bômm nu, me nnok ndigi mudaa a ñoñ nlénd!
Hini hı̀ŋgɔ̀ndà hi ŋgwēs nyaŋgā.	Hini hiñgonda hi ñgwés nyañga.
Debout!	Débôut!
À ǹnyugūt sibà lòŋnı̀ ŋgɔ̀k.	A nnyugut siba lôñni ñgok.
À mɓōombana kii ?	A mbôômbana kii ?
"À Pastò, lɛ njààŋgò à m̂ɓɛl, mı̀mpek mi kodı̂, lɛ à m̂ɓɛlɛ̂k ɓe, mı̀mpek mi kodı̂".	"A Pastô, le njaañgô a mbel, mimpék mi kôdi, le a mbelek bé, mimpék mi kôdi".
Dı̀ŋwàglɛ di kubi ı̄ ŋwɛ̀mɛl si u sogol.	Diñwagle di kubi i ñwemel si u sôgôl.
Mɛ̀ ǹtee mbuda (i) màkàbò.	Me ntéé mbuda (i) makabô.
Hyɛ̀ɛ̀ hi hyɔbı̄ hi nnɔ̄hɔp hyaŋgaa.	Hyee hi hyobi hi nnohop hyañgaa.
À ŋ̀ɔŋ labga dikòmbòl.	A ñoñ labga dikômbôl.
Ɓɔ̀ŋgɛ ɓa wanda ɓana ɓa ntı̂p ɓiinà.	Boñge ba wanda bana ba ntip biina.
Ŋgàn ı̀ yè nùga ɓa njɛ̄; ǹten nugā lihàà li ɓaŋgòdò.	Ñgan i yé nuga ba nje; ntén nuga lihaa li bañgôdô.
Ǹteedà bı̀lem à ǹtiŋı̄s nyagà.	Ntééda bilém a ntiñis nyaga.
À ntòhol tibı̄ biwàdà.	A ntôhôl tibi biwada.
Ɓàudu ɓa nnı̄mna makàlà.	Baudu ba nnimna makala.
Mɛ̀ yè mɛ̀ hɔŋɔl ɓɔtàtâ!	Me yé me hoñol botata!
Mǎn à ŋ̀gwee njɔà.	Man a ñgwéé njoa.
À heeba mɔ̄t.	A hééba mot.
...Mu ı̄ ɓòbôk yee à gwèe ŋ̀kedlàk joy lɛ, Kiŋɛ ı̀ bı̀kiŋɛ̂...(Màs 19,16).	...Mu i bôbôk yéé a gwéé ñkédlak jôy le, Kiñe i bikiñe...(Mas 19,16).
Ɓalaŋ i hɔp i ŋkwɔ hāna i ɓěhnı̄.	Balañ i hop i ñkwo hana i béhni.
Mɛ̀ nnɛ̀ɛ̀mbɛ pubus mbay.	Me nneembe pubus mbay.
Sɔl tòŋ yàda ı̀ni.	Sol tôñ yada ini.
Tòlɛ̀ à m̂mâl mɛ mpek hiòndɛ̀.	Tôle a mmal me mpék hiônde.
Mɛ̀ŋ ma ntòl hana.	Meñ ma ntôl hana.
Mɛ̀ŋ ma ntòl hana.	Meñ ma ntôl hana.
Sulûk i nlɛ̄l ɓe lep ŋgı̀ ɓàndkɔ̂k.= Sulûk i nlɛ̄l lep ndik nı̀ ɓàndkɔ̂k.	Suluk i nlel bé lép ñgi bandkok.= Suluk i nlel lép ndik ni bandkok.
Ǹsı̀hgɛ̀ bijɛk.	Nsihge bijek.
Ù nsòmbol ɓebha mɛ wàŋan man.	U nsômbôl bébha me wañan man.
Mùt nunu à ŋɛ̀mb ɓɔŋgɛ hi ŋwii.	Mut nunu a ñemb boñge hi ñwii.
Dı̀ mɓēghɛnɛ Hilòlômb i ndāp yeē.	Di mbéghene Hilôlômb i ndap yéé.
Jɛ̀p li njêk.	Jep li njék.
Kı̀i lı̀kàlàk jɔŋ.	Kii likalak joñ.
Mɛ̀ mɓɔ̀ŋ mâm kı̀i là yɛ̂m.	Me mboñ mam kii la yem.
Lɔ̀ŋ Isrǎɛ̀l i biɓūm Egiptò gwèt.	Loñ Israel i bibum Égiptô gwét.
Lı̀ɓɛ̀mɛ̀k jɔŋ li ɓakèn li ntı̄ makend.	Libemek joñ li bakén li nti makénd.
Hı̀kɔ̀t hi kul .	Hikot hi kul .
Ɓa nyadlɛ nyɛ mbɛ̀gɛ̀ɛ̀.	Ba nyadle nye mbegee.
Mɛ̀ ǹnɔk ndigi kūglukùglù, ndòmlɛ bı̀sàŋ bı̂!	Me nnok ndigi kuglukuglu, ndômle bisañ bi!
Hı̀ŋgàgdà njı̂ŋ.	Hiñgagda njiñ.
Lɛ̀ŋɓana mɛ̀ yak mànyûŋ.	Leñbana me yak manyuñ.
Hı̀lòlômb à biɓɔ̀ŋɓa mût.	Hilôlômb a biboñba mut.
Nyàŋgo à ǹsɛɛ̄ ŋgandàk hı̀òndɛ̀.	Nyañgô a nsee ñgandak hiônde.
À mɓɔ̀gdɛ ŋgeŋ hyèe.	A mbogde ñgéñ hyéé.
Ɓěsnà mankeē dı̀ ntɛ̀gnà.	Bésna mankéé di ntegna.
Yòmôl i ŋkēna mbı̂ŋ.	Yômôl i ñkéna mbiñ.
Kɔdɔl sɔ̀ŋ ı̀ yè lı̀jǔl li mı̂m.	Kodol soñ i yé lijul li mim.
Kigdi mût.	Kigdi mut.
Kwàglɛ̀ nsɔn.	Kwagle nson.
Mùt màŋgɛndâ.	Mut mañgenda.
Kii ù mpèèyɛnɛ mɛ̂?	Kii u mpééyene me?
À ǹcolɛ mɛ màtay.	A ntjôle me matay.
Ù njɛ̄ hinyɛ̀t ɛ? Mɛ̀ njɛ̄ hyɔ!	U nje hinyet e? Me nje hyo!
Ɓoonɛ i pos i mɓabaa mɛ̂.	Bôône i pôs i mbabaa me.
"Ɓa biɓı̄i Petrò ɓɔ Yòhanɛ̀s bitēdel lɛtɛ̀ɛ kɛl ı̀ yɛ" MƁ. 4:3.	"Ba bibii Pétrô bo Yôhanes bitédél letee kel i ye" MB. 4:3.
À mɓēp hamà i tɔ̀nɛ̀ lɛ koŋkoŋ.	A mbép hama i tone le kôñkôñ.
...Nı̀ dı̀ɔ̀mi, nı̀ bı̀hɔɔ̂p, nı̀ bı̀nùnumbà, nı̀ làɓindɛ̀, nı̀ bı̀njı̀njı̂ŋ, nı̀ wây, nı̀ mòo, nı̀ tɔ̀mba flâwà, nı̀ kon...(Màs 18,13).	...Ni diomi, ni bihoop, ni binunumba, ni labinde, ni binjinjiñ, ni way, ni môô, ni tomba flawa, ni kôn...(Mas 18,13).
...Nı̀ dı̀ɔ̀mi, nı̀ bı̀hɔɔ̂p, nı̀ bı̀nùnumbà, nı̀ làɓindɛ̀, nı̀ bı̀njı̀njı̂ŋ, nı̀ wây, nı̀ mòo, nı̀ tɔ̀mba flâwà, nı̀ kon...(Màs 18,13).	...Ni diomi, ni bihoop, ni binunumba, ni labinde, ni binjinjiñ, ni way, ni môô, ni tomba flawa, ni kôn...(Mas 18,13).
Nunu mùt à gwèe nı̄hɓɛ̀.	Nunu mut a gwéé nihbe.
Bı̀lɛ̀l bi gwoo ; bı̀lɛ̀l gwee bi ɓe nûn ndigi ǹyògol (Èz 17,6).	Bilel bi gwôô ; bilel gwéé bi bé nun ndigi nyôgôl (Éz 17,6).
Mɛ̀ yè i kède ndāp.	Me yé i kédé ndap.
Mɛ̀ ǹyimbɛ̄ wɛ̂, yàk mbɔt yɔŋ.	Me nyimbe we, yak mbot yoñ.
Tâ à ǹhulūl mɛ mùdàa.	Ta a nhulul me mudaa.
Hı̀ɓɛ̀ɛ hi ye lēmbel.	Hibee hi yé lémbél.
À ŋ̀uwha mɛ sū, dı̀ ŋ̀uwha masu.	A ñuwha me su, di ñuwha masu.
Sı̀blɛ mɛ̀ bı̀ɓàŋga bi hɔp u ɓasàa.	Sible me bibañga bi hop u basaa.
Lı̀ɓiı̂ li ye jàm Nyambɛ à bitèŋ.	Libii li yé jam Nyambe a bitéñ.
Bı̀pɔ̀lɔ̀ bi ye lɔ̄ŋgɛ ikède ǹsugi.	Bipolo bi yé loñge ikédé nsugi.
Ŋ̀kɛ̀y nyoy u ŋùmndɛ̀.	Ñkey nyôy u ñumnde.
Kɔ̀glɛ à ǹlɔ̂, mɛ̀k mɛ̀ ǹtêmb ni mbūs.	Kogle a nlo, mek me ntémb ni mbus.
lı̀òŋgòk li su maɓɔ̀ŋgɔ̀ li ye lı̀ɓɛ.	liôñgôk li su maboñgo li yé libe.
Mı̀ŋɔndɔ mi ye lɔ̄ŋgɛ nı̀ ndòlɛ tɔ̀ nı̀ m̂ɓòmôk hyɔbı̄.	Miñondo mi yé loñge ni ndôle to ni mbômôk hyobi.
Mùt ǹhyomôk à gwèe ɓē jogà i ànɛ̀ Nyambɛ̂.	Mut nhyômôk a gwéé bé jôga i ane Nyambe.
Mùt ǹhyomôk à gwèe ɓē jogà i ànɛ̀ Nyambɛ̂.	Mut nhyômôk a gwéé bé jôga i ane Nyambe.
Mùt ǹhyomôk à gwèe ɓē jogà i ànɛ̀ Nyambɛ̂.	Mut nhyômôk a gwéé bé jôga i ane Nyambe.
Màjò à ǹsɔ̂nɓa sibà.	Majô a nsonba siba.
Kɔ̀n masày.	Kon masay.
Ɓɔ̀ŋgɛ ɓa nlōndos man lɛ ndi nyàŋ a yɔ̂ŋ nyɛ.	Boñge ba nlôndôs man le ndi nyañ a yoñ nye.
Màn nunu à ńyènel ki ɓagwâl ɓee?	Man nunu a nyénél ki bagwal béé?
Bı̀kı̀là bi mbɔk.	Bikila bi mbok.
À mpèl ni ŋgı̀m mâm i ŋŋɛ̄m wee.	A mpél ni ñgim mam i ññem wéé.
Sudɛ yɔ̀m mɔɔ lɛ gwı̀ı̀s .	Sude yom moo le gwiis .
"Dı̀ ŋēba ɓes ɓɔmɛ̀dɛ...kı̀kı̀i mı̀nlı̀mil..i hōdnyuu" II Kɔ̀r. 6:6.	"Di ñéba bés bomede...kikii minlimil..i hôdnyuu" II Kor. 6:6.
Ɓòt ɓa ŋàk mɛ yàŋgà yàŋgà.	Bôt ba ñak me yañga yañga.
Hɔɔmbà mût.	Hoomba mut.
Ǹyògol u ŋkwēyha kop.	Nyôgôl u ñkwéyha kôp.
Mbuk lı̀kedêl; mbagdà (ı̀) mbuk lı̀kedêl.	Mbuk likédél; mbagda (i) mbuk likédél.
Inyùukı̄i ù bikɛ̀ ŋgwee ndidı̀, ù niba mɛ̂...(Bı̀ɓ 31,27).	Inyuukii u bike ñgwéé ndidi, u niba me...(Bib 31,27).
Bı̀tòŋ bi mùga yàni.	Bitôñ bi muga yani.
Lı̀lɔy li hyɔbı̄.	Liloy li hyobi.
Hı̀kùùbɛ̀ hi mût.	Hikuube hi mut.
Ǹtɛl u juu li lighɛnɛ u gaɓā hikeŋee hi wɔɔ hyada (Màn.30,1,2).	Ntel u juu li lighene u gaba hikéñéé hi woo hyada (Man.30,1,2).
Hı̀si hyɔŋ hi ŋgwɛ̀l.	Hisi hyoñ hi ñgwel.
Ɓày wɛ̌ŋgɔ̀ŋlɛ jɔ̌p (i) ŋgèdà hyàŋgaa hi mɓày.	Bay weñgoñle jop (i) ñgéda hyañgaa hi mbay.
Mɛ̀ mɓàŋlɛ ɛ.	Me mbañle e.
